Tariff,Tariff Category,Transmission Zone,Supply Voltage,Code,Matrix Code,High-Peak [c/kWh],High-Standard [c/kWh],High-Off Peak [c/kWh],Low-Peak [c/kWh],Low-Standard [c/kWh],Low-Off Peak [c/kWh],High Demand [c/kWh],Low Demand [c/kWh],High Demand [R/kVA/m],Low Demand [R/kVA/m],Transmission Network Charges [R/kVA/m],Network Access Charges [R/kVA/m],Generation Capacity Charge [R/kVA],Legacy Charge [c/kWh]
Transflex 2,Non-Local Authority,[0 - 300km],> 132kV,Transflex 2_Non-Local Authority_[0 - 300km]_> 132kV,T204N,577.13,144.28,96.19,239.52,134.67,96.19,0,0,0,0,0,8838.47,1123.66,19.21
Transflex 2,Non-Local Authority,[> 900km],> 132kV,Transflex 2_Non-Local Authority_[> 900km]_> 132kV,T234N,594.44,148.61,99.06,246.7,138.7,99.06,0,0,0,0,0,9157.54,1123.66,19.21
Transflex 2,Non-Local Authority,[301 - 600km],≥ 500V & < 66kV,Transflex 2_Non-Local Authority_[301 - 600km]_≥ 500V & < 66kV,T212N,673.6,168.4,112.27,279.55,157.17,112.27,0,0,0,0,0,10377.15,1298.49,22.2
Transflex 2,Non-Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Transflex 2_Non-Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,T213N,625.1,156.28,104.18,259.43,145.86,104.18,0,0,0,0,0,9630.03,1205.01,20.6
Transflex 2,Non-Local Authority,[301 - 600km],> 132kV,Transflex 2_Non-Local Authority_[301 - 600km]_> 132kV,T214N,582.9,145.73,97.15,241.91,136.01,97.15,0,0,0,0,0,8979.89,1123.66,19.21
Transflex 2,Non-Local Authority,[601 - 900km],< 500V,Transflex 2_Non-Local Authority_[601 - 900km]_< 500V,T221N,698.28,174.57,116.37,289.8,162.93,116.37,0,0,0,0,0,10757.83,1332.88,22.78
Transflex 2,Non-Local Authority,[601 - 900km],≥ 500V & < 66kV,Transflex 2_Non-Local Authority_[601 - 900km]_≥ 500V & < 66kV,T222N,680.27,170.07,113.37,282.32,158.73,113.37,0,0,0,0,0,10480.31,1298.49,22.2
Transflex 2,Non-Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Transflex 2_Non-Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,T223N,631.29,157.82,105.21,262,147.31,105.21,0,0,0,0,0,9725.76,1205.01,20.6
Transflex 2,Non-Local Authority,[601 - 900km],> 132kV,Transflex 2_Non-Local Authority_[601 - 900km]_> 132kV,T224N,588.67,147.17,98.11,244.31,137.36,98.11,0,0,0,0,0,9069.16,1123.66,19.21
Transflex 2,Non-Local Authority,[> 900km],< 500V,Transflex 2_Non-Local Authority_[> 900km]_< 500V,T231N,705.13,176.28,117.52,292.64,164.53,117.52,0,0,0,0,0,10862.67,1332.88,22.78
Transflex 2,Non-Local Authority,[> 900km],≥ 500V & < 66kV,Transflex 2_Non-Local Authority_[> 900km]_≥ 500V & < 66kV,T232N,686.94,171.74,114.49,285.09,160.28,114.49,0,0,0,0,0,10582.45,1298.49,22.2
Transflex 2,Non-Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Transflex 2_Non-Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,T233N,637.48,159.37,106.25,264.56,148.75,106.25,0,0,0,0,0,9820.54,1205.01,20.6
Transflex 2,Non-Local Authority,[> 900km],> 132kV,Transflex 2_Non-Local Authority_[> 900km]_> 132kV,T234N,594.44,148.61,99.06,246.7,138.7,99.06,0,0,0,0,0,9157.54,1123.66,19.21
